page_id,access_count,classification
0,138,hot
1,155,hot
2,157,hot
3,152,hot
4,140,hot
5,160,hot
6,163,hot
7,135,hot
8,166,hot
9,133,hot
10,174,hot
11,163,hot
12,150,hot
13,138,hot
14,151,hot
15,145,hot
16,158,hot
17,178,hot
18,155,hot
19,159,hot
20,152,hot
21,162,hot
22,162,hot
23,130,hot
24,146,hot
25,146,hot
26,148,hot
27,154,hot
28,166,hot
29,149,hot
30,159,hot
31,146,hot
32,148,hot
33,159,hot
34,192,hot
35,150,hot
36,137,hot
37,162,hot
38,139,hot
39,168,hot
40,150,hot
41,160,hot
42,148,hot
43,165,hot
44,163,hot
45,138,hot
46,158,hot
47,158,hot
48,163,hot
49,151,hot
50,153,hot
51,157,hot
52,145,hot
53,172,hot
54,174,hot
55,153,hot
56,144,hot
57,159,hot
58,151,hot
59,155,hot
60,155,hot
61,172,hot
62,160,hot
63,158,hot
64,144,hot
65,157,hot
66,166,hot
67,180,hot
68,162,hot
69,150,hot
70,161,hot
71,197,hot
72,159,hot
73,164,hot
74,163,hot
75,152,hot
76,169,hot
77,161,hot
78,156,hot
79,186,hot
80,153,hot
81,170,hot
82,153,hot
83,158,hot
84,148,hot
85,151,hot
86,172,hot
87,162,hot
88,165,hot
89,167,hot
90,150,hot
91,165,hot
92,169,hot
93,154,hot
94,157,hot
95,149,hot
96,164,hot
97,158,hot
98,161,hot
99,169,hot
100,168,hot
101,144,hot
102,166,hot
103,157,hot
104,146,hot
105,150,hot
106,140,hot
107,158,hot
108,161,hot
109,163,hot
110,160,hot
111,155,hot
112,153,hot
113,158,hot
114,153,hot
115,155,hot
116,164,hot
117,139,hot
118,168,hot
119,154,hot
120,161,hot
121,141,hot
122,154,hot
123,147,hot
124,177,hot
125,159,hot
126,144,hot
127,140,hot
128,171,hot
129,161,hot
130,158,hot
131,156,hot
132,153,hot
133,154,hot
134,158,hot
135,141,hot
136,127,hot
137,162,hot
138,140,hot
139,140,hot
140,128,hot
141,147,hot
142,160,hot
143,154,hot
144,137,hot
145,142,hot
146,143,hot
147,166,hot
148,148,hot
149,156,hot
150,146,hot
151,154,hot
152,136,hot
153,147,hot
154,148,hot
155,151,hot
156,158,hot
157,142,hot
158,142,hot
159,166,hot
160,164,hot
161,153,hot
162,177,hot
163,160,hot
164,154,hot
165,142,hot
166,142,hot
167,154,hot
168,152,hot
169,155,hot
170,177,hot
171,137,hot
172,173,hot
173,159,hot
174,164,hot
175,165,hot
176,164,hot
177,141,hot
178,160,hot
179,148,hot
180,171,hot
181,140,hot
182,142,hot
183,141,hot
184,167,hot
185,178,hot
186,174,hot
187,161,hot
188,142,hot
189,168,hot
190,139,hot
191,151,hot
192,160,hot
193,176,hot
194,169,hot
195,170,hot
196,150,hot
197,151,hot
198,165,hot
199,132,hot
200,168,hot
201,156,hot
202,138,hot
203,158,hot
204,155,hot
205,150,hot
206,140,hot
207,172,hot
208,164,hot
209,184,hot
210,152,hot
211,135,hot
212,178,hot
213,162,hot
214,158,hot
215,158,hot
216,149,hot
217,159,hot
218,145,hot
219,145,hot
220,148,hot
221,156,hot
222,140,hot
223,161,hot
224,152,hot
225,154,hot
226,166,hot
227,170,hot
228,157,hot
229,153,hot
230,145,hot
231,155,hot
232,188,hot
233,133,hot
234,155,hot
235,144,hot
236,143,hot
237,162,hot
238,160,hot
239,177,hot
240,146,hot
241,189,hot
242,149,hot
243,168,hot
244,163,hot
245,163,hot
246,143,hot
247,130,hot
248,157,hot
249,147,hot
250,157,hot
251,143,hot
252,123,hot
253,166,hot
254,139,hot
255,158,hot
256,155,hot
257,149,hot
258,168,hot
259,197,hot
260,164,hot
261,165,hot
262,160,hot
263,178,hot
264,168,hot
265,148,hot
266,177,hot
267,156,hot
268,132,hot
269,130,hot
270,169,hot
271,162,hot
272,162,hot
273,151,hot
274,155,hot
275,135,hot
276,162,hot
277,181,hot
278,162,hot
279,161,hot
280,142,hot
281,135,hot
282,144,hot
283,138,hot
284,153,hot
285,164,hot
286,150,hot
287,144,hot
288,136,hot
289,150,hot
290,145,hot
291,144,hot
292,169,hot
293,159,hot
294,165,hot
295,158,hot
296,157,hot
297,162,hot
298,143,hot
299,143,hot
300,142,hot
301,149,hot
302,182,hot
303,157,hot
304,145,hot
305,170,hot
306,162,hot
