page_id,access_count,classification,target_node,result
0,149,cold,1,simulated
1,167,hot,0,simulated
2,171,cold,1,simulated
3,149,hot,0,simulated
4,158,hot,0,simulated
5,142,cold,1,simulated
6,166,hot,0,simulated
7,142,cold,1,simulated
8,171,hot,0,simulated
9,139,cold,1,simulated
10,149,hot,0,simulated
11,153,cold,1,simulated
12,143,hot,0,simulated
13,160,hot,0,simulated
14,162,hot,0,simulated
15,142,cold,1,simulated
16,158,hot,0,simulated
17,143,hot,0,simulated
18,171,hot,0,simulated
19,152,hot,0,simulated
20,160,hot,0,simulated
21,157,hot,0,simulated
22,161,hot,0,simulated
23,137,hot,0,simulated
24,139,hot,0,simulated
25,177,hot,0,simulated
26,156,hot,0,simulated
27,158,cold,1,simulated
28,157,hot,0,simulated
29,150,hot,0,simulated
30,142,cold,1,simulated
31,162,hot,0,simulated
32,162,hot,0,simulated
33,157,cold,1,simulated
34,138,hot,0,simulated
35,137,cold,1,simulated
36,165,hot,0,simulated
37,153,hot,0,simulated
38,179,cold,1,simulated
39,171,hot,0,simulated
40,148,cold,1,simulated
41,159,hot,0,simulated
42,173,hot,0,simulated
43,141,cold,1,simulated
44,154,hot,0,simulated
45,167,cold,1,simulated
46,166,hot,0,simulated
47,165,hot,0,simulated
48,163,hot,0,simulated
49,178,cold,1,simulated
50,156,cold,1,simulated
51,140,hot,0,simulated
52,151,hot,0,simulated
53,146,hot,0,simulated
54,151,cold,1,simulated
55,168,hot,0,simulated
56,134,hot,0,simulated
57,156,cold,1,simulated
58,147,hot,0,simulated
59,154,hot,0,simulated
60,160,hot,0,simulated
61,165,hot,0,simulated
62,154,hot,0,simulated
63,134,hot,0,simulated
64,164,hot,0,simulated
65,154,cold,1,simulated
66,170,cold,1,simulated
67,140,cold,1,simulated
68,170,cold,1,simulated
69,158,hot,0,simulated
70,155,hot,0,simulated
71,185,hot,0,simulated
72,164,hot,0,simulated
73,154,hot,0,simulated
74,178,cold,1,simulated
75,158,hot,0,simulated
76,188,cold,1,simulated
77,157,hot,0,simulated
78,147,hot,0,simulated
79,150,hot,0,simulated
80,147,cold,1,simulated
81,169,hot,0,simulated
82,150,hot,0,simulated
83,157,hot,0,simulated
84,143,hot,0,simulated
85,160,hot,0,simulated
86,140,hot,0,simulated
87,182,hot,0,simulated
88,144,hot,0,simulated
89,175,hot,0,simulated
90,171,hot,0,simulated
91,150,hot,0,simulated
92,160,cold,1,simulated
93,168,hot,0,simulated
94,168,hot,0,simulated
95,144,cold,1,simulated
96,149,hot,0,simulated
97,165,hot,0,simulated
98,153,hot,0,simulated
99,167,hot,0,simulated
100,151,hot,0,simulated
101,165,hot,0,simulated
102,164,hot,0,simulated
103,166,hot,0,simulated
104,160,cold,1,simulated
105,180,hot,0,simulated
106,173,cold,1,simulated
107,152,cold,1,simulated
108,136,cold,1,simulated
109,138,hot,0,simulated
110,147,hot,0,simulated
111,154,hot,0,simulated
112,177,hot,0,simulated
113,167,hot,0,simulated
114,159,hot,0,simulated
115,165,hot,0,simulated
116,161,hot,0,simulated
117,139,cold,1,simulated
118,132,hot,0,simulated
119,170,cold,1,simulated
120,133,cold,1,simulated
121,143,hot,0,simulated
122,157,hot,0,simulated
123,155,hot,0,simulated
124,143,hot,0,simulated
125,152,hot,0,simulated
126,169,hot,0,simulated
127,132,hot,0,simulated
128,134,hot,0,simulated
129,170,hot,0,simulated
130,166,hot,0,simulated
131,156,hot,0,simulated
132,140,hot,0,simulated
133,143,cold,1,simulated
134,134,hot,0,simulated
135,162,hot,0,simulated
136,136,hot,0,simulated
137,176,cold,1,simulated
138,140,hot,0,simulated
139,126,hot,0,simulated
140,137,cold,1,simulated
141,138,hot,0,simulated
142,150,hot,0,simulated
143,145,hot,0,simulated
144,156,hot,0,simulated
145,156,hot,0,simulated
146,179,hot,0,simulated
147,158,hot,0,simulated
148,160,cold,1,simulated
149,146,cold,1,simulated
150,171,cold,1,simulated
151,138,hot,0,simulated
152,150,hot,0,simulated
153,151,hot,0,simulated
154,160,hot,0,simulated
155,164,hot,0,simulated
156,176,cold,1,simulated
157,153,cold,1,simulated
158,144,cold,1,simulated
159,167,cold,1,simulated
160,150,hot,0,simulated
161,155,hot,0,simulated
162,182,hot,0,simulated
163,149,hot,0,simulated
164,148,hot,0,simulated
165,151,cold,1,simulated
166,162,hot,0,simulated
167,149,cold,1,simulated
168,141,hot,0,simulated
169,161,hot,0,simulated
170,176,hot,0,simulated
171,130,hot,0,simulated
172,155,cold,1,simulated
173,158,hot,0,simulated
174,161,hot,0,simulated
175,129,cold,1,simulated
176,157,hot,0,simulated
177,160,hot,0,simulated
178,142,hot,0,simulated
179,153,cold,1,simulated
180,190,cold,1,simulated
181,160,hot,0,simulated
182,188,cold,1,simulated
183,155,hot,0,simulated
184,141,hot,0,simulated
185,158,hot,0,simulated
186,155,cold,1,simulated
187,152,cold,1,simulated
188,162,hot,0,simulated
189,166,hot,0,simulated
190,149,cold,1,simulated
191,157,hot,0,simulated
192,149,hot,0,simulated
193,168,cold,1,simulated
194,149,hot,0,simulated
195,164,hot,0,simulated
196,151,hot,0,simulated
197,165,hot,0,simulated
198,155,hot,0,simulated
199,146,hot,0,simulated
200,139,cold,1,simulated
201,152,hot,0,simulated
