page_id,access_count,classification
0,149,hot
1,167,hot
2,171,hot
3,149,hot
4,158,hot
5,142,hot
6,166,hot
7,142,hot
8,171,hot
9,139,hot
10,149,hot
11,153,hot
12,143,hot
13,160,hot
14,162,hot
15,142,hot
16,158,hot
17,143,hot
18,171,hot
19,152,hot
20,160,hot
21,157,hot
22,161,hot
23,137,hot
24,139,hot
25,177,hot
26,156,hot
27,158,hot
28,157,hot
29,150,hot
30,142,hot
31,162,hot
32,162,hot
33,157,hot
34,138,hot
35,137,hot
36,165,hot
37,153,hot
38,179,hot
39,171,hot
40,148,hot
41,159,hot
42,173,hot
43,141,hot
44,154,hot
45,167,hot
46,166,hot
47,165,hot
48,163,hot
49,178,hot
50,156,hot
51,140,hot
52,151,hot
53,146,hot
54,151,hot
55,168,hot
56,134,hot
57,156,hot
58,147,hot
59,154,hot
60,160,hot
61,165,hot
62,154,hot
63,134,hot
64,164,hot
65,154,hot
66,170,hot
67,140,hot
68,170,hot
69,158,hot
70,155,hot
71,185,hot
72,164,hot
73,154,hot
74,178,hot
75,158,hot
76,188,hot
77,157,hot
78,147,hot
79,150,hot
80,147,hot
81,169,hot
82,150,hot
83,157,hot
84,143,hot
85,160,hot
86,140,hot
87,182,hot
88,144,hot
89,175,hot
90,171,hot
91,150,hot
92,160,hot
93,168,hot
94,168,hot
95,144,hot
96,149,hot
97,165,hot
98,153,hot
99,167,hot
100,151,hot
101,165,hot
102,164,hot
103,166,hot
104,160,hot
105,180,hot
106,173,hot
107,152,hot
108,136,hot
109,138,hot
110,147,hot
111,154,hot
112,177,hot
113,167,hot
114,159,hot
115,165,hot
116,161,hot
117,139,hot
118,132,hot
119,170,hot
120,133,hot
121,143,hot
122,157,hot
123,155,hot
124,143,hot
125,152,hot
126,169,hot
127,132,hot
128,134,hot
129,170,hot
130,166,hot
131,156,hot
132,140,hot
133,143,hot
134,134,hot
135,162,hot
136,136,hot
137,176,hot
138,140,hot
139,126,hot
140,137,hot
141,138,hot
142,150,hot
143,145,hot
144,156,hot
145,156,hot
146,179,hot
147,158,hot
